851	-0.000153619354261	-1.53619354261E-4	-7.16952177299E-4	10	10
1119	-0.000153619354261	-1.53619354261E-4	-7.16952177299E-4	9	9
1438	-0.000153619354261	-1.53619354261E-4	-7.16952177299E-4	8	8
937	-0.000460858062784	-4.60858062784E-4	4.94378197418E-4	7	7
971	-0.000460858062784	-4.60858062784E-4	4.94378197418E-4	6	6
790	-0.0019970516054	-0.0019970516054	-7.16952177299E-4	5	5
109	-0.00168981289688	-0.00168981289688	-7.16952177299E-4	4	4
712	-0.00168981289688	-0.00168981289688	-7.16952177299E-4	3	3
897	-0.00168981289688	-0.00168981289688	-7.16952177299E-4	2	2
427	-0.00230429031392	-0.00230429031392	-3.13175385726E-4	1	1
